x1,x2,y
2.6952983,-11.50076039,1
-6.30290001,2.98379433,1
8.67974595,14.6390917,1
17.25977542,11.2271554,1
0.22284991,4.53661491,1
3.65286125,-24.87476226,1
-13.12931222,0.02694959,1
7.337559651,-7.596053225,1
0.38717158,15.14478358,1
-10.55993324,5.26472978,1
17.18664682,26.98861366,1
-11.89525939,-0.96550045,1
6.403917435,-3.52426771,1
-3.83418629,8.57393313,1
-6.1659173,16.87305275,1
0.35236013,-0.98004908,1
16.85829803,15.08554036,1
-11.18844717,1.72630014,1
-3.16522537,18.41805181,1
21.77259271,4.60517487,1
4.8553922,6.38412168,1
-14.41326009,-8.500054838,1
19.75116907,-5.881344719,1
-12.31385608,7.67017617,1
1.43534701,-1.77700298,1
-12.20338887,7.01728872,1
-0.92578297,26.29990414,1
22.95678057,-14.72026842,1
13.30736113,10.44160373,1
-6.27319657,9.38679384,1
-7.42875733,-8.053707618,1
4.16462603,21.03602872,1
-12.60055232,0.87228236,1
-11.44198666,5.83474331,1
10.47478635,-7.004442961,1
-2.55756788,-11.00229782,1
5.298108817,21.92236282,1
15.10965079,24.1619175,1
-3.04926848,18.76863729,1
-17.24769621,9.68353276,1
-10.07809338,4.00483964,1
-5.60761886,1.90786281,1
-5.55947009,11.12950235,1
-3.10824163,0.51251176,1
0.99364328,1.99624046,1
-8.984186,4.58488118,1
-4.32944953,13.9203929,1
16.59144244,20.28130166,1
-1.57736746,-9.37490856,1
0.09436548,18.93549097,1
-2.39473495,1.92275008,1
2.69442408,6.6817613,1
-7.95862784,28.56096001,1
10.57150862,13.80498388,1
-13.58540819,0.85536351,1
8.642200077,8.02163754,1
-17.56675796,5.63338393,1
-18.08782251,10.67447194,1
-3.56573593,-5.338452463,1
-1.3879082,20.95534715,1
-0.43457569,5.86999068,1
2.88511606,23.25823325,1
-13.32524269,25.5034011,1
-18.90863753,-0.43299421,1
-6.26841932,1.089715,1
-0.91693925,16.38602562,1
-5.28979475,21.39827632,1
-12.22306407,12.51249138,1
-11.28925909,9.4618815,1
2.24093586,8.98266694,1
-7.26393855,13.59175996,1
-7.92737141,15.43072452,1
-3.74952993,8.37034147,1
-9.61598777,-5.267443292,1
-6.81456667,24.35651628,1
-10.60671521,6.71502474,1
-5.89580196,-1.83107333,1
7.207561746,24.21704661,1
4.2140371,14.02846285,1
8.377430686,13.75659208,1
