x1,x2,y
-12.3047017,3.499239612,1
-21.30290001,17.98379433,1
-6.32025405,29.6390917,1
2.259775422,26.2271554,1
-14.77715009,19.53661491,1
-11.34713875,-9.874762258,1
-28.12931222,15.02694959,1
-7.662440349,7.403946775,1
-14.61282842,30.14478358,1
-25.55993324,20.26472978,1
2.186646822,41.98861366,1
-26.89525939,14.03449955,1
-8.596082565,11.47573229,1
-18.83418629,23.57393313,1
-21.1659173,31.87305275,1
-14.64763987,14.01995092,1
1.858298034,30.08554036,1
-26.18844717,16.72630014,1
-18.16522537,33.41805181,1
6.772592712,19.60517487,1
-10.1446078,21.38412168,1
-29.41326009,6.499945162,1
4.751169069,9.118655281,1
-27.31385608,22.67017617,1
-13.56465299,13.22299702,1
-27.20338887,22.01728872,1
-15.92578297,41.29990414,1
7.956780574,0.27973158,1
-1.692638871,25.44160373,1
-21.27319657,24.38679384,1
-22.42875733,6.946292382,1
-10.83537397,36.03602872,1
-27.60055232,15.87228236,1
-26.44198666,20.83474331,1
-4.525213649,7.995557039,1
-17.55756788,3.997702185,1
-9.701891183,36.92236282,1
0.109650792,39.1619175,1
-18.04926848,33.76863729,1
-32.24769621,24.68353276,1
-25.07809338,19.00483964,1
-20.60761886,16.90786281,1
-20.55947009,26.12950235,1
-18.10824163,15.51251176,1
-14.00635672,16.99624046,1
-23.984186,19.58488118,1
-19.32944953,28.9203929,1
1.591442438,35.28130166,1
-16.57736746,5.62509144,1
-14.90563452,33.93549097,1
-17.39473495,16.92275008,1
-12.30557592,21.6817613,1
-22.95862784,43.56096001,1
-4.428491379,28.80498388,1
-28.58540819,15.85536351,1
-6.357799923,23.02163754,1
-32.56675796,20.63338393,1
-33.08782251,25.67447194,1
-18.56573593,9.661547537,1
-16.3879082,35.95534715,1
-15.43457569,20.86999068,1
-12.11488394,38.25823325,1
-28.32524269,40.5034011,1
-33.90863753,14.56700579,1
-21.26841932,16.089715,1
-15.91693925,31.38602562,1
-20.28979475,36.39827632,1
