x1,x2,y
-19.20503893,15.9058799,1
-8.081249148,30.32248456,1
-21.28431164,22.40720971,1
-14.66146592,25.6685217,1
-6.461822146,17.40666345,1
-18.04193043,25.89450755,1
-17.39810117,17.04760852,1
-18.22551622,19.80156484,1
-16.49042647,23.28097252,1
-14.38542011,19.87038519,1
-8.953712363,21.403519,1
-19.11815927,26.06410875,1
-20.53011268,11.76004691,1
-15.93619315,23.83353216,1
-20.52917107,18.72095854,1
-15.88862222,27.43284963,1
-18.20504169,18.89788164,1
-26.16455122,26.99821323,1
-14.06832084,24.08706525,1
-16.59831393,20.49695586,1
-10.82953814,32.37207599,1
-10.65473376,27.81623083,1
-8.057666216,26.4299616,1
-11.89846726,26.3763864,1
-11.37341641,30.39398113,1
-16.97343901,29.4200357,1
-8.452022017,25.99295463,1
-8.091392899,18.89640672,1
-18.91231194,18.4669893,1
-19.93385018,21.18959405,1
-14.1345883,20.53560484,1
-10.21128868,23.6561516,1
-4.729344302,19.06345776,1
-9.769293942,26.4416431,1
-8.508130845,24.5011252,1
-11.19704587,9.399536824,1
-21.05448568,20.04838056,1
-26.06230993,25.60102586,1
-24.92519955,15.53311655,1
-16.88281841,21.41956206,1
-8.476150251,20.92966291,1
-20.29639178,25.69226497,1
-16.71612609,16.03329115,1
-6.924961225,18.89351828,1
-18.7473108,25.82540919,1
-13.71559133,20.0341867,1
-21.02505076,21.76457687,1
-18.95556985,33.75002879,1
-20.34134729,21.02270613,1
-17.13211773,13.92629138,1
-9.53715523,29.05872046,1
-15.98306214,19.71585519,1
-11.88081058,18.90843197,1
-20.0202479,27.41886412,1
-17.69312109,23.92962634,1
-21.82880091,35.3726449,1
-13.51028083,21.92261813,1
-17.91344903,25.2146134,1
-17.74526427,24.44332687,1
-16.33362353,15.38347207,1
-23.25886591,24.02064396,1
-13.37849007,33.43544674,1
-20.6218996,26.67821824,1
-15.32633657,18.53926973,1
-21.68719834,25.77268445,1
-19.67324814,23.97283649,1
-28.55798996,28.03746917,1
-19.63547844,17.59703031,1
-24.57007746,27.54451234,1
-19.68822983,27.88697076,1
-19.39264583,19.98697445,1
-19.58298596,17.17762272,1
-16.80299922,26.11421472,1
-18.45997401,26.26396978,1
-16.63824833,33.37424132,1
-19.56713291,27.23498787,1
-14.00781777,31.40960934,1
-18.35499083,33.92080143,1
-18.10008657,30.08506587,1
-21.94618446,27.50663025,1
-16.72574685,22.9679241,1
-28.01564696,17.40013919,1
-14.5130078,24.99267994,1
-19.59777205,29.24764443,1
-16.18579891,28.63023075,1
-23.20276566,26.73161461,1
-7.802156987,31.79998502,1
-22.19266258,23.55364349,1
-20.29160075,34.44125679,1
-22.60920028,24.91312115,1
-15.45702636,27.70465304,1
-25.48655334,22.29674857,1
-17.47651045,24.58890069,1
-15.84512944,24.83965046,1
-15.4860503,24.25472107,1
-18.60460188,24.9182965,1
-22.34226579,18.06913694,1
-23.39681175,28.30901873,1
-21.69495029,19.16741444,1
-21.16473914,27.0370277,1
-30.93097982,22.97318729,1
-15.36300205,18.68810808,1
-17.74578244,27.15666105,1
